OBJECTID,tmc,speed_limit
1431,129P08832,45
1432,129+08840,30
1433,129+08833,45
1434,129+08836,35
1435,129+08838,35
1436,129+08835,35
1437,129+08841,30
1438,129+08839,35
1439,129+09569,35
1440,129+08829,40
1441,129+08834,35
1442,129+08842,30
1443,129+08827,35
1444,129P08831,40
1445,129+08837,35
1446,129+08828,40
1447,129+08830,25
1448,129P08828,40
1449,129P08827,35
1450,129P08834,35
1451,129P08843,30
1452,129+08831,45
1453,129P08835,35
1454,129-09569,30
1455,129-08828,40
1456,129-08832,45
1457,129N08834,35
1458,129-08833,35
1459,129-08826,30
1460,129-08830,45
1461,129N08826,30
1462,129N08835,35
1463,129-08834,35
1464,129N08831,40
1465,129-08836,35
1466,129N08828,40
1467,129-08842,30
1468,129-08840,30
1469,129-08839,30
1470,129-08829,25
1471,129N08832,45
1472,129N08827,40
1473,129-08827,40
1474,129-08831,45
1475,129-08837,35
1476,129-08835,35
1477,129-08841,30
1478,129-08838,35
1479,129+08824,45
1480,129+08821,35
1481,129+08822,35
1482,129+08825,40
1483,129P08825,30
1484,129+09568,40
1485,129+08826,50
1486,129+08823,30
1487,129-08824,40
1488,129-08823,45
1489,129-08820,35
